SampleID,Strain,Run,collectionPathUri,File,File1,File2,File3
1,uvrAmutS (control),1,pacbio_data/00001,m160826_004008_42200_c101086142550000001823265703091720_s1_p0.1.bax.h5,m160826_004008_42200_c101086142550000001823265703091720_s1_p0.2.bax.h5,m160826_004008_42200_c101086142550000001823265703091720_s1_p0.3.bax.h5,m160826_004008_42200_c101086142550000001823265703091720_s1_p0.bas.h5
2,uvrAmutS (control),2,pacbio_data/00002,m160826_065746_42200_c101086142550000001823265703091721_s1_p0.1.bax.h5,m160826_065746_42200_c101086142550000001823265703091721_s1_p0.2.bax.h5,m160826_065746_42200_c101086142550000001823265703091721_s1_p0.3.bax.h5,m160826_065746_42200_c101086142550000001823265703091721_s1_p0.bas.h5
3,uvrAmutS (control),3,pacbio_data/00003,m160826_131643_42200_c101086142550000001823265703091722_s1_p0.1.bax.h5,m160826_131643_42200_c101086142550000001823265703091722_s1_p0.2.bax.h5,m160826_131643_42200_c101086142550000001823265703091722_s1_p0.3.bax.h5,m160826_131643_42200_c101086142550000001823265703091722_s1_p0.bas.h5
4,uvrAmutS (control),4,pacbio_data/00004,m160826_194056_42200_c101086142550000001823265703091723_s1_p0.1.bax.h5,m160826_194056_42200_c101086142550000001823265703091723_s1_p0.2.bax.h5,m160826_194056_42200_c101086142550000001823265703091723_s1_p0.3.bax.h5,m160826_194056_42200_c101086142550000001823265703091723_s1_p0.bas.h5
5,uvrAmutS (control),5,pacbio_data/00005,m160905_030330_42200_c101090402550000001823241703091705_s1_p0.1.bax.h5,m160905_030330_42200_c101090402550000001823241703091705_s1_p0.2.bax.h5,m160905_030330_42200_c101090402550000001823241703091705_s1_p0.3.bax.h5,m160905_030330_42200_c101090402550000001823241703091705_s1_p0.bas.h5
6,uvrAmutS (control),6,pacbio_data/00006,m160905_092519_42200_c101090402550000001823241703091706_s1_p0.1.bax.h5,m160905_092519_42200_c101090402550000001823241703091706_s1_p0.2.bax.h5,m160905_092519_42200_c101090402550000001823241703091706_s1_p0.3.bax.h5,m160905_092519_42200_c101090402550000001823241703091706_s1_p0.bas.h5
7,uvrAmutS (control),7,pacbio_data/00007,m160905_154421_42200_c101090402550000001823241703091707_s1_p0.1.bax.h5,m160905_154421_42200_c101090402550000001823241703091707_s1_p0.2.bax.h5,m160905_154421_42200_c101090402550000001823241703091707_s1_p0.3.bax.h5,m160905_154421_42200_c101090402550000001823241703091707_s1_p0.bas.h5
8,uvrAmutS (control),8,pacbio_data/00008,m160910_021616_42200_c101015752550000001823229710211637_s1_p0.1.bax.h5,m160910_021616_42200_c101015752550000001823229710211637_s1_p0.2.bax.h5,m160910_021616_42200_c101015752550000001823229710211637_s1_p0.3.bax.h5,m160910_021616_42200_c101015752550000001823229710211637_s1_p0.bas.h5
9,uvrA,1,pacbio_data/00009,m160827_020214_42200_c101086142550000001823265703091724_s1_p0.1.bax.h5,m160827_020214_42200_c101086142550000001823265703091724_s1_p0.2.bax.h5,m160827_020214_42200_c101086142550000001823265703091724_s1_p0.3.bax.h5,m160827_020214_42200_c101086142550000001823265703091724_s1_p0.bas.h5
10,uvrA,2,pacbio_data/00010,m160827_082053_42200_c101086142550000001823265703091725_s1_p0.1.bax.h5,m160827_082053_42200_c101086142550000001823265703091725_s1_p0.2.bax.h5,m160827_082053_42200_c101086142550000001823265703091725_s1_p0.3.bax.h5,m160827_082053_42200_c101086142550000001823265703091725_s1_p0.bas.h5
